n,d,Q,R,sspl_lb,test,ngraph,edge,state,time
9,8,1,0,72,1,1,28,29,0.001396
8,5,1,2,72,1,3,19,378,0.146881
9,4,1,4,108,1,16,24,1054,0.560034
11,10,1,0,110,1,1,45,46,0.00171
10,8,1,1,100,1,1,35,366,0.193191
7,6,1,0,42,1,1,15,16,0.0005
10,3,2,0,150,1,1,15,22,0.001075
6,3,1,2,42,1,2,8,31,0.001044
8,6,1,1,64,1,1,20,106,0.017159
10,9,1,0,90,1,1,36,37,0.000776
6,4,1,1,36,1,1,9,23,0.001148
5,4,1,0,20,1,1,6,7,0.000126
10,7,1,2,110,1,5,34,3605,6.68045
10,4,1,5,140,1,24,31,3124,3.79545
8,7,1,0,56,1,1,21,22,0.000283
9,6,1,2,90,1,4,26,1201,0.827427
6,5,1,0,30,1,1,10,11,0.000263
8,3,1,4,88,1,2,13,59,0.00299
11,4,1,6,176,1,37,39,8919,24.3819
7,4,1,2,56,1,2,13,115,0.01042
4,3,1,0,12,1,1,3,4,9.5e-05
8,4,1,3,80,1,6,18,421,0.15038
11,8,1,2,132,1,6,43,11255,63.199
20,3,2,10,900,1,1,64,2800,1.9703
14,4,1,9,308,1,1,60,8305,14.5244
18,4,2,1,558,1,0,77,128,0.006352
19,4,2,2,646,1,1,89,14026,17.9394
13,4,1,8,260,1,10,58,11476,28.3384
16,3,2,6,528,1,6,60,3077,1.69651
15,4,1,10,360,1,1,62,2936,2.59306
12,3,2,2,252,1,2,26,353,0.123428
16,4,1,11,416,1,0,64,438,0.137102
12,10,1,1,144,1,1,54,1057,0.633052
17,4,2,0,476,1,0,66,94,0.003736
18,3,2,8,702,1,1,62,5650,6.4034
14,3,2,4,378,1,7,41,2087,1.02358
12,4,1,7,216,1,26,48,14294,50.9941
22,3,3,0,1122,1,0,66,81,0.010184
24,3,3,2,1416,1,1,89,15967,30.7583
46,3,4,0,6762,1,0,276,11753,20.7955
