n,d,Q,R,sspl_lb,bdr,srt,mgr,n_graph,sspl_max,sspl_min,edge,node,time
4,3,1,0,12,basic,basic,basic,1,12,12,3,5,4.3e-05
6,3,1,2,42,basic,basic,basic,7,42,42,10,135,0.001675
5,4,1,0,20,basic,basic,basic,1,20,20,6,12,6.9e-05
4,3,1,0,12,basic,basic,matrix,1,12,12,3,4,3.2e-05
6,3,1,2,42,basic,basic,matrix,7,42,42,10,123,0.000808
8,3,1,4,88,basic,basic,basic,168,88,88,21,9953,0.074195
5,4,1,0,20,basic,basic,matrix,1,20,20,6,7,5.4e-05
4,3,1,0,12,basic,basic,minmax,1,12,12,3,4,5.1e-05
8,3,1,4,88,basic,basic,matrix,168,88,88,21,2881,0.05938
6,3,1,2,42,basic,basic,minmax,7,42,42,10,123,0.001495
4,3,1,0,12,cycle,basic,basic,1,12,12,3,5,4.2e-05
5,4,1,0,20,basic,basic,minmax,1,20,20,6,7,0.000149
6,3,1,2,42,cycle,basic,basic,3,42,42,8,38,0.000151
8,3,1,4,88,cycle,basic,basic,24,88,88,19,1382,0.003941
5,4,1,0,20,cycle,basic,basic,1,20,20,6,12,7e-05
4,3,1,0,12,cycle,basic,matrix,1,12,12,3,4,3.1e-05
6,3,1,2,42,cycle,basic,matrix,3,42,42,8,37,0.000316
5,4,1,0,20,cycle,basic,matrix,1,20,20,6,7,5.7e-05
8,3,1,4,88,basic,basic,minmax,168,88,88,21,2881,0.107033
8,3,1,4,88,cycle,basic,matrix,24,88,88,19,416,0.006146
4,3,1,0,12,cycle,basic,minmax,1,12,12,3,4,5.4e-05
6,3,1,2,42,cycle,basic,minmax,3,42,42,8,37,0.000445
4,3,1,0,12,stree,basic,basic,1,12,12,3,5,0.000117
5,4,1,0,20,cycle,basic,minmax,1,20,20,6,7,0.000178
8,3,1,4,88,cycle,basic,minmax,24,88,88,19,416,0.0075
6,3,1,2,42,stree,basic,basic,4,42,42,8,39,0.00052
8,3,1,4,88,stree,basic,basic,11,88,88,13,210,0.001466
5,4,1,0,20,stree,basic,basic,1,20,20,6,12,0.000262
6,3,1,2,42,stree,basic,matrix,4,42,42,8,39,0.000295
4,3,1,0,12,stree,basic,matrix,1,12,12,3,4,8.9e-05
5,4,1,0,20,stree,basic,matrix,1,20,20,6,7,6.5e-05
8,3,1,4,88,stree,basic,matrix,11,88,88,13,156,0.002306
5,4,1,0,20,stree,basic,minmax,1,20,20,6,7,9.5e-05
4,3,1,0,12,stree,basic,minmax,1,12,12,3,4,6.2e-05
6,3,1,2,42,stree,basic,minmax,4,42,42,8,39,0.000354
8,3,1,4,88,stree,basic,minmax,11,88,88,13,156,0.004017
6,3,1,2,42,cycle,sorted,basic,3,42,42,8,42,0.000166
4,3,1,0,12,cycle,sorted,basic,1,12,12,3,5,4.2e-05
5,4,1,0,20,cycle,sorted,basic,1,20,20,6,12,0.000299
8,3,1,4,88,cycle,sorted,basic,24,88,88,19,1366,0.01838
4,3,1,0,12,cycle,sorted,matrix,1,12,12,3,4,3.1e-05
4,3,1,0,12,cycle,sorted,minmax,1,12,12,3,4,5.4e-05
5,4,1,0,20,cycle,sorted,matrix,1,20,20,6,7,0.000276
6,3,1,2,42,cycle,sorted,matrix,3,42,42,8,41,0.000553
6,3,1,2,42,cycle,sorted,minmax,3,42,42,8,41,0.000434
8,3,1,4,88,cycle,sorted,matrix,24,88,88,19,558,0.015624
5,4,1,0,20,cycle,sorted,minmax,1,20,20,6,7,8.6e-05
8,3,1,4,88,cycle,sorted,minmax,24,88,88,19,558,0.03005
